epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2591.64,2.03651,1.4653,1.0145,0.77863,0.66778,0.72066,0.29257,2.00143,1.32607,0.98697,0.00126166,0.00126166,0.00126166
43,2652.82,2.03344,1.41946,1.01703,0.75199,0.64222,0.66513,0.25444,2.23477,1.34617,1.00866,0.00124366,0.00124366,0.00124366
44,2714.03,2.02092,1.41164,1.01222,0.79427,0.65556,0.71947,0.29017,2.11237,1.30843,1.0038,0.00122565,0.00122565,0.00122565
45,2775.27,2.00952,1.43043,1.0155,0.80259,0.65778,0.72656,0.28792,2.06016,1.2895,1.0009,0.00120764,0.00120764,0.00120764
46,2836.52,2.00418,1.40977,1.01925,0.77212,0.67,0.70575,0.26904,2.17806,1.3337,1.00193,0.00118963,0.00118963,0.00118963
47,2897.79,2.03438,1.40769,1.02187,0.79603,0.67667,0.72143,0.28343,2.097,1.3046,1.00224,0.00117162,0.00117162,0.00117162
48,2959.06,2.01665,1.38238,1.01163,0.8219,0.65121,0.7332,0.29351,2.04556,1.27003,0.98921,0.00115362,0.00115362,0.00115362
49,3020.29,1.97209,1.37603,1.00672,0.80734,0.67512,0.73897,0.3034,2.08591,1.27642,0.99768,0.00113561,0.00113561,0.00113561
50,3081.58,2.0326,1.39688,1.01464,0.82672,0.63084,0.72297,0.28253,2.04786,1.28317,0.99283,0.0011176,0.0011176,0.0011176
51,3142.94,2.009,1.39777,1.00926,0.77022,0.65111,0.69496,0.27272,2.09595,1.34122,0.99518,0.00109959,0.00109959,0.00109959
52,3204.27,1.96173,1.36434,1.00252,0.80928,0.68444,0.74414,0.29687,2.07972,1.30471,0.99299,0.00108158,0.00108158,0.00108158
53,3265.58,1.99489,1.36856,1.00495,0.80632,0.6661,0.73992,0.29505,2.03807,1.27984,0.9915,0.00106357,0.00106357,0.00106357
54,3326.93,1.99703,1.37816,1.00508,0.77817,0.65667,0.71272,0.28864,2.06398,1.30653,0.99303,0.00104557,0.00104557,0.00104557
55,3388.22,1.95517,1.36734,1.0042,0.83563,0.65889,0.73908,0.30287,2.02374,1.28224,0.98968,0.00102756,0.00102756,0.00102756
56,3449.53,1.98303,1.34883,1.00713,0.79066,0.67,0.71574,0.28993,2.03916,1.26721,0.99648,0.00100955,0.00100955,0.00100955
